"id","activity_date","total_steps","very_active_mins","fairly_active_mins","lightly_active_mins","sedentary_mins","calories","corrected_heartrate_avg","corrected_minutes_asleep","corrected_weight_avg_lbs"
1503960366,"2016-04-12",13158,25,13,328,728,1985,0,327,0
1503960366,"2016-04-13",10735,21,19,217,776,1798,0,384,0
1503960366,"2016-04-14",10460,30,11,181,1218,1777,0,0,0
1503960366,"2016-04-15",9685,29,34,209,726,1745,0,412,0
1503960366,"2016-04-16",12669,36,10,221,773,1864,0,340,0
1503960366,"2016-04-17",9705,38,20,164,539,1728,0,700,0
1503960366,"2016-04-18",13019,42,16,233,1149,1922,0,0,0
1503960366,"2016-04-19",15506,50,31,264,775,2036,0,304,0
1503960366,"2016-04-20",10544,28,12,205,818,1787,0,360,0
1503960366,"2016-04-21",9819,19,8,211,838,1776,0,325,0
1503960366,"2016-04-22",12764,66,27,130,1217,1828,0,0,0
1503960366,"2016-04-23",14371,41,21,262,732,1949,0,361,0
1503960366,"2016-04-24",10039,39,5,238,709,1789,0,430,0
1503960366,"2016-04-25",15355,73,14,216,814,2013,0,277,0
1503960366,"2016-04-26",13755,31,23,279,833,1971,0,245,0
1503960366,"2016-04-27",18125,78,11,243,1108,2159,0,0,0
1503960366,"2016-04-28",13091,48,28,189,782,1899,0,366,0
1503960366,"2016-04-29",11181,16,12,243,815,1838,0,341,0
1503960366,"2016-04-30",14673,52,34,217,712,1948,0,404,0
1503960366,"2016-05-01",10602,33,35,246,730,1831,0,369,0
1503960366,"2016-05-02",14710,41,15,277,798,2018,0,277,115.96
1503960366,"2016-05-03",15103,50,24,254,816,1991,0,273,115.96
1503960366,"2016-05-04",11100,36,22,203,1179,1820,0,0,0
1503960366,"2016-05-05",14047,45,24,250,857,1960,0,247,0
1503960366,"2016-05-06",12159,24,6,289,754,1897,0,334,0
1503960366,"2016-05-07",11992,37,46,175,833,1822,0,331,0
1503960366,"2016-05-08",10060,44,8,203,574,1741,0,594,0
1503960366,"2016-05-09",12022,46,11,206,835,1820,0,338,0
1503960366,"2016-05-10",12207,46,31,214,746,1860,0,383,0
1503960366,"2016-05-11",11890,36,23,251,669,1723,0,285,0
1624580081,"2016-04-12",8163,0,0,146,1294,1432,0,0,0
1624580081,"2016-04-13",7007,0,0,148,1292,1412,0,0,0
1624580081,"2016-04-14",9107,0,0,236,1204,1572,0,0,0
1624580081,"2016-04-15",1490,0,0,96,1344,1344,0,0,0
1624580081,"2016-04-16",5370,0,0,176,1264,1464,0,0,0
1624580081,"2016-04-17",6150,15,22,127,1276,1554,0,0,0
1624580081,"2016-04-18",10536,17,7,202,1214,1604,0,0,0
1624580081,"2016-04-19",2916,0,0,141,1299,1435,0,0,0
1624580081,"2016-04-20",4974,0,0,151,1289,1446,0,0,0
1624580081,"2016-04-21",6349,0,0,186,1254,1467,0,0,0
1624580081,"2016-04-22",4002,0,0,199,1241,1471,0,0,0
1624580081,"2016-04-23",8538,0,0,227,1213,1563,0,0,0
1624580081,"2016-04-24",6076,16,18,185,1221,1617,0,0,0
1624580081,"2016-04-25",6487,0,0,202,1238,1492,0,0,0
1624580081,"2016-04-26",2826,0,0,140,1300,1402,0,0,0
1624580081,"2016-04-27",8367,17,36,154,1233,1670,0,0,0
1624580081,"2016-04-28",2759,0,5,115,1320,1402,0,0,0
1624580081,"2016-04-29",2390,0,0,150,1290,1404,0,0,0
1624580081,"2016-04-30",6474,11,23,224,1182,1656,0,0,0
1624580081,"2016-05-01",36019,186,63,171,1020,2691,0,0,0
1624580081,"2016-05-02",7155,7,6,166,1261,1497,0,0,0
1624580081,"2016-05-03",2100,0,0,96,1344,1334,0,0,0
